Name1,Genre,Year,platform,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Company
Pokemon Sun/Moon 3DS,Role-Playing,2016,3DS,Nintendo,2.98,1.45,2.26,0.45,7.14,Nintendo
Yokai Watch 3 3DS,Action,2016,3DS,Level 5,0,0,1.33,0,1.33,Nintendo
Dragon Quest Monsters Joker 3 3DS,Role-Playing,2016,3DS,Square Enix,0,0,0.63,0,0.63,Nintendo
Yokai Sangokushi 3DS,Action,2016,3DS,Level 5,0,0,0.56,0,0.56,Nintendo
Mario & Sonic at the Rio 2016 Olympic Games 3DS,Action,2016,3DS,Nintendo,0.05,0.21,0.25,0.02,0.53,Nintendo
Hyrule Warriors 3DS,Action,2016,3DS,Nintendo,0.17,0.13,0.11,0.03,0.43,Nintendo
Monster Hunter Stories 3DS,Action,2016,3DS,Capcom,0,0,0.28,0,0.28,Nintendo
Ace Attorney 6 3DS,Adventure,2016,3DS,Capcom,0,0,0.27,0,0.27,Nintendo
Puzzle & Dragons X: God Chapter / Dragon Chapter 3DS,Action,2016,3DS,GungHo,0,0,0.22,0,0.22,Nintendo
Story of Seasons: Good Friends of the Three Villages 3DS,Simulation,2016,3DS,Marvelous Interactive,0,0,0.2,0,0.2,Nintendo
Shin Megami Tensei IV: Final 3DS,Role-Playing,2016,3DS,Deep Silver,0.05,0,0.14,0.01,0.19,Nintendo
Etrian Odyssey V 3DS,Role-Playing,2016,3DS,Atlus,0,0,0.12,0,0.12,Nintendo
Taiko no Tatsujin: Don Don! Mystery Adventure 3DS,Action,2016,3DS,Namco Bandai Games,0,0,0.1,0,0.1,Nintendo
Sonic Boom: Fire & Ice 3DS,Platform,2016,3DS,Sega,0.05,0.03,0,0.01,0.09,Nintendo
Sumikko Gurashi: Mura o Tsukurundesu 3DS,Misc,2016,3DS,Nippon Columbia,0,0,0.08,0,0.08,Nintendo
Ansatsu Kyoushitsu: Assassin Ikusei Keikaku!! 3DS,Action,2016,3DS,Namco Bandai Games,0,0,0.06,0,0.06,Nintendo
Culdcept Revolt 3DS,Strategy,2016,3DS,Nintendo,0,0,0.06,0,0.06,Nintendo
Corpse Party: Back to School Edition 3DS,Adventure,2016,3DS,Xseed Games,0.05,0,0,0.01,0.06,Nintendo
12-Sai. Koisuru Diary 3DS,Adventure,2016,3DS,Happinet,0,0,0.05,0,0.05,Nintendo
Card Fight!! Vanguard G: Stride to Victory!! 3DS,Misc,2016,3DS,FuRyu,0,0,0.04,0,0.04,Nintendo
Haikyu!! Cross Team Match! 3DS,Adventure,2016,3DS,Namco Bandai Games,0,0,0.04,0,0.04,Nintendo
Doraemon: Shin Nobita no Nihon Tanjou 3DS,Misc,2016,3DS,FuRyu,0,0,0.04,0,0.04,Nintendo
My Hero Academia: Battle for All 3DS,Action,2016,3DS,Namco Bandai Games,0,0,0.04,0,0.04,Nintendo
Super Battle For Money Sentouchuu: Kyuukyoku no Shinobu to Battle Player Choujou Kessen! 3DS,Action,2016,3DS,Namco Bandai Games,0,0,0.03,0,0.03,Nintendo
PriPara Mezameyo! Megami no Dress Design 3DS,Action,2016,3DS,Takara Tomy,0,0,0.03,0,0.03,Nintendo
3DS Classic Collection 3DS,Misc,2016,3DS,Sega,0.03,0,0,0,0.03,Nintendo
Medabots Girls Mission: Metabee Ver. / Rokusho Ver. 3DS,Role-Playing,2016,3DS,Rocket Company,0,0,0.03,0,0.03,Nintendo
One Piece: Daikaizoku Coliseum 3DS,Fighting,2016,3DS,Namco Bandai Games,0,0,0.03,0,0.03,Nintendo
Beyblade Burst 3DS,Role-Playing,2016,3DS,FuRyu,0,0,0.03,0,0.03,Nintendo
River City Ransom SP 3DS,Action,2016,3DS,Arc System Works,0,0,0.01,0,0.01,Nintendo
Aikatsu Stars! My Special Appeal 3DS,Action,2016,3DS,Namco Bandai Games,0,0,0.01,0,0.01,Nintendo
Teddy Together 3DS,Simulation,2016,3DS,Nintendo,0,0.02,0,0,0.03,Nintendo
Harvest Moon: Skytree Village 3DS,Simulation,2016,3DS,Natsume,0.02,0,0,0,0.03,Nintendo
Kirby: Planet Robobot 3DS,Action,2016,3DS,Nintendo,0.28,0.14,0.47,0.04,0.93,Nintendo
Terraria 3DS,Action,2016,3DS,505 Games,0,0.04,0.05,0,0.09,Nintendo
LEGO Marvel's Avengers 3DS,Action,2016,3DS,Warner Bros. Interactive Entertainment,0.07,0.09,0.01,0.01,0.19,Nintendo
Lego Star Wars: The Force Awakens 3DS,Action,2016,3DS,Warner Bros. Interactive Entertainment,0.04,0.07,0.01,0.01,0.12,Nintendo
Dragon Ball: Fusions 3DS,Role-Playing,2016,3DS,Namco Bandai Games,0.02,0,0.19,0,0.21,Nintendo
Azure Striker Gunvolt 3DS,Action,2016,3DS,Yacht Club Games,0.01,0,0,0,0.01,Nintendo
Azure Striker Gunvolt: Striker Pack 3DS,Action,2016,3DS,Inti Creates,0,0,0.01,0,0.01,Nintendo
Cartoon Network Battle Crashers 3DS,Action,2016,3DS,FuRyu Corporation,0.01,0,0,0,0.01,Nintendo
Mega Man Legacy Collection 3DS,Platform,2016,3DS,Capcom,0.14,0,0.05,0.02,0.21,Nintendo
Disney Art Academy 3DS,Action,2016,3DS,Nintendo,0.02,0.01,0.08,0,0.11,Nintendo
Mario Party: Star Rush 3DS,Misc,2016,3DS,Nintendo,0.08,0.13,0.08,0.02,0.3,Nintendo
Zero Escape: Zero Time Dilemma 3DS,Adventure,2016,3DS,Aksys Games,0.05,0,0.02,0.01,0.08,Nintendo
Metroid Prime: Federation Force 3DS,Action,2016,3DS,Nintendo,0.02,0.01,0.01,0,0.05,Nintendo
MLB 16: The Show PS3,Action,2016,PS3,Sony Computer Entertainment,0.16,0,0,0.04,0.19,Sony
Dragon Quest Heroes II: Twin Kings and the Prophecy's End PS3,Action,2016,PS3,Square Enix,0,0,0.13,0,0.13,Sony
Dragon Quest Builders: Revive Alefgard PS3,Role-Playing,2016,PS3,Square Enix,0,0,0.12,0,0.12,Sony
Yakuza Kiwami PS3,Adventure,2016,PS3,Sega,0,0,0.12,0,0.12,Sony
Tales of Berseria PS3,Role-Playing,2016,PS3,Namco Bandai Games,0,0,0.12,0,0.12,Sony
Jikkyou Powerful Pro Baseball 2016 PS3,Sports,2016,PS3,Konami Digital Entertainment,0,0,0.12,0,0.12,Sony
UEFA Euro 2016 PS3,Sports,2016,PS3,Konami Digital Entertainment,0,0.04,0.03,0.01,0.08,Sony
Guilty Gear Xrd -Revelator- PS3,Fighting,2016,PS3,PQube,0.02,0.02,0.03,0.01,0.07,Sony
Super Robot Wars OG: The Moon Dwellers PS3,Misc,2016,PS3,Namco Bandai Games,0,0,0.06,0,0.06,Sony
Attack on Titan (KOEI) PS3,Action,2016,PS3,Tecmo Koei,0,0,0.06,0,0.06,Sony
Batman: A Telltale Game Series PS3,Adventure,2016,PS3,Telltale Games,0.01,0.04,0,0.01,0.05,Sony
Kamen Rider: Battride War Genesis PS3,Action,2016,PS3,Namco Bandai Games,0,0,0.04,0,0.04,Sony
Star Ocean 5: Integrity and Faithlessness PS3,Role-Playing,2016,PS3,Square Enix,0,0,0.04,0,0.04,Sony
Nobunaga's Ambition: Sphere of Influence - Sengoku Risshiden PS3,Misc,2016,PS3,Tecmo Koei,0,0,0.04,0,0.04,Sony
Sengoku Basara: Sanada Yukimura-Den PS3,Action,2016,PS3,Capcom,0,0,0.03,0,0.03,Sony
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.9 PS3,Misc,2016,PS3,Namco Bandai Games,0,0,0.03,0,0.03,Sony
Toukiden 2 PS3,Action,2016,PS3,Tecmo Koei,0,0,0.02,0,0.02,Sony
Utawarerumono: Futari no Hakuoro PS3,Misc,2016,PS3,Aqua Plus,0,0,0.02,0,0.02,Sony
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.8 PS3,Misc,2016,PS3,Namco Bandai Games,0,0,0.02,0,0.02,Sony
Naruto Shippuden: Ultimate Ninja Storm Collection PS3,Action,2016,PS3,Namco Bandai Games,0,0.01,0,0,0.01,Sony
Dynasty Warriors: Eiketsuden PS3,Action,2016,PS3,Tecmo Koei,0,0,0.01,0,0.01,Sony
Samurai Warriors: Sanada Maru PS3,Action,2016,PS3,Tecmo Koei,0,0,0.01,0,0.01,Sony
Persona 5 PS3,Role-Playing,2016,PS3,Unknown,0,0,0.11,0,0.11,Sony
Pro Evolution Soccer 2017 PS3,Sports,2016,PS3,Konami Digital Entertainment,0.01,0.05,0.06,0.01,0.13,Sony
WWE 2K17 PS3,Sports,2016,PS3,Take-Two Interactive,0.05,0.07,0,0.02,0.14,Sony
Aegis of Earth: Protonovus Assault PS3,Action,2016,PS3,PQube,0.01,0.01,0,0,0.02,Sony
NBA 2K17 PS3,Sports,2016,PS3,Take-Two Interactive,0.06,0.04,0,0.02,0.13,Sony
LEGO Marvel's Avengers PS3,Action,2016,PS3,Warner Bros. Interactive Entertainment,0.1,0.12,0,0.04,0.27,Sony
Lego Star Wars: The Force Awakens PS3,Action,2016,PS3,Warner Bros. Interactive Entertainment,0.04,0.1,0,0.03,0.16,Sony
Madden NFL 17 PS3,Sports,2016,PS3,Electronic Arts,0.07,0.02,0,0.02,0.12,Sony
Odin Sphere: Leifthrasir PS3,Role-Playing,2016,PS3,Nippon Ichi Software,0.02,0.01,0.03,0.01,0.06,Sony
Skylanders Imaginators PS3,Platform,2016,PS3,Activision,0.02,0.07,0,0.02,0.11,Sony
Call of Duty: Modern Warfare Trilogy PS3,Shooter,2016,PS3,Activision,0.01,0.01,0,0,0.02,Sony
Teenage Mutant Ninja Turtles: Mutants in Manhattan PS3,Action,2016,PS3,Activision,0.01,0.03,0,0.01,0.05,Sony
Just Dance 2017 PS3,Misc,2016,PS3,Ubisoft,0.01,0.03,0,0.01,0.05,Sony
BlazBlue Central Fiction PS3,Fighting,2016,PS3,PQube,0.02,0.02,0.02,0.01,0.06,Sony
Rugby Challenge 3 PS3,Sports,2016,PS3,Alternative Software,0,0.02,0,0,0.03,Sony
FIFA 17 PS3,Sports,2016,PS3,Electronic Arts,0.05,0.55,0.03,0.1,0.73,Sony
Ratchet & Clank (2016) PS4,Platform,2016,PS4,Sony Computer Entertainment,0.5,0.76,0.04,0.24,1.54,Sony
Doom (2016) PS4,Shooter,2016,PS4,Bethesda Softworks,0.54,0.69,0.02,0.24,1.49,Sony
The Elder Scrolls V: Skyrim PS4,Role-Playing,2016,PS4,Bethesda Softworks,0.48,0.59,0.04,0.21,1.33,Sony
Rise of the Tomb Raider PS4,Adventure,2016,PS4,Square Enix,0.23,0.53,0.04,0.14,0.94,Sony
MLB 16: The Show PS4,Action,2016,PS4,Sony Computer Entertainment,0.72,0,0,0.17,0.89,Sony
Dragon Quest Builders: Revive Alefgard PS4,Role-Playing,2016,PS4,Square Enix,0.04,0.11,0.22,0.03,0.4,Sony
F1 2016 (Codemasters) PS4,Racing,2016,PS4,Codemasters,0.03,0.29,0.01,0.05,0.39,Sony
Resident Evil Zero PS4,Action,2016,PS4,Capcom,0.1,0.17,0.05,0.05,0.37,Sony
Star Ocean 5: Integrity and Faithlessness PS4,Role-Playing,2016,PS4,Square Enix,0.07,0.09,0.15,0.03,0.33,Sony
Dragon Quest Heroes II: Twin Kings and the Prophecy's End PS4,Action,2016,PS4,Square Enix,0,0,0.28,0,0.28,Sony
Attack on Titan (KOEI) PS4,Action,2016,PS4,Tecmo Koei,0.04,0.11,0.11,0.03,0.28,Sony
Valkyria Chronicles PS4,Role-Playing,2016,PS4,Sega,0.07,0.05,0.05,0.03,0.2,Sony
The Heavy Rain and Beyond: Two Souls Collection PS4,Action,2016,PS4,Sony Computer Entertainment,0,0.17,0,0.03,0.2,Sony
Jikkyou Powerful Pro Baseball 2016 PS4,Sports,2016,PS4,Konami Digital Entertainment,0,0,0.17,0,0.17,Sony
The Idolmaster: Platinum Stars PS4,Simulation,2016,PS4,Namco Bandai Games,0,0,0.1,0,0.1,Sony
Gundam Breaker 3 PS4,Action,2016,PS4,Namco Bandai Games,0,0,0.1,0,0.1,Sony
Super Robot Wars OG: The Moon Dwellers PS4,Misc,2016,PS4,Namco Bandai Games,0,0,0.09,0,0.09,Sony
MXGP 2 PS4,Racing,2016,PS4,Milestone S.r.l.,0.02,0.05,0,0.01,0.09,Sony
Batman: A Telltale Game Series PS4,Adventure,2016,PS4,Telltale Games,0.03,0.05,0,0.01,0.09,Sony
SD Gundam G Generation Genesis PS4,Strategy,2016,PS4,Namco Bandai Games,0,0,0.08,0,0.08,Sony
Guilty Gear Xrd -Revelator- PS4,Fighting,2016,PS4,PQube,0.03,0,0.05,0.01,0.08,Sony
Pro Cycling Manager 2016 PS4,Sports,2016,PS4,Focus Home Interactive,0,0.07,0,0.01,0.08,Sony
Project Setsuna PS4,Role-Playing,2016,PS4,Square Enix,0,0,0.06,0,0.06,Sony
Kamen Rider: Battride War Genesis PS4,Action,2016,PS4,Namco Bandai Games,0,0,0.06,0,0.06,Sony
ZombiU PS4,Action,2016,PS4,Ubisoft,0,0.04,0.01,0.01,0.06,Sony
Nobunaga's Ambition: Sphere of Influence - Sengoku Risshiden PS4,Misc,2016,PS4,Tecmo Koei,0.01,0,0.05,0,0.06,Sony
Ghostbusters (2016) PS4,Action,2016,PS4,Activision,0.04,0,0,0.01,0.05,Sony
Utawarerumono: Futari no Hakuoro PS4,Misc,2016,PS4,Aqua Plus,0,0,0.05,0,0.05,Sony
Resident Evil 4 HD PS4,Shooter,2016,PS4,Capcom,0.04,0,0,0.01,0.05,Sony
Hitman (2016) PS4,Action,2016,PS4,Square Enix,0,0.04,0,0.01,0.05,Sony
Warhammer: The End Times - Vermintide PS4,Action,2016,PS4,Games Workshop,0.01,0.02,0,0.01,0.04,Sony
Sengoku Basara: Sanada Yukimura-Den PS4,Action,2016,PS4,Capcom,0,0,0.03,0,0.03,Sony
Atelier Firis: The Alchemist of the Mysterious Journey PS4,Role-Playing,2016,PS4,Tecmo Koei,0,0,0.03,0,0.03,Sony
Tokyo Xanadu eX+ PS4,Role-Playing,2016,PS4,Nihon Falcom Corporation,0,0,0.03,0,0.03,Sony
Loading Human PS4,Adventure,2016,PS4,FuRyu Corporation,0.01,0.01,0,0,0.03,Sony
Resident Evil 5 HD PS4,Action,2016,PS4,Capcom,0.02,0,0,0.01,0.03,Sony
Resident Evil: Umbrella Corps PS4,Action,2016,PS4,Capcom,0,0,0.02,0,0.02,Sony
Black Rose Valkyrie PS4,Role-Playing,2016,PS4,Idea Factory,0,0,0.02,0,0.02,Sony
Winning Post 8 2016 PS4,Simulation,2016,PS4,Tecmo Koei,0,0,0.02,0,0.02,Sony
This War of Mine PS4,Action,2016,PS4,Deep Silver,0,0.01,0,0,0.02,Sony
Koihime Enbu PS4,Fighting,2016,PS4,Yeti,0,0,0.02,0,0.02,Sony
Dynasty Warriors: Eiketsuden PS4,Action,2016,PS4,Tecmo Koei,0,0,0.02,0,0.02,Sony
Dragon's Dogma Online: Season 2 PS4,Action,2016,PS4,Capcom,0,0,0.02,0,0.02,Sony
God Eater Off Shot: Soma Shikkuzaru-hen Twin Pack & Animation Vol.4 PS4,Action,2016,PS4,Namco Bandai Games,0,0,0.02,0,0.02,Sony
God Eater Off Shot:Shiou-hen Twin Pack & Animation Vol.5 PS4,Misc,2016,PS4,Namco Bandai Games,0,0,0.02,0,0.02,Sony
Crows: Burning Edge PS4,Action,2016,PS4,Namco Bandai Games,0,0,0.01,0,0.01,Sony
R.B.I. Baseball 2016 PS4,Sports,2016,PS4,MLB.com,0.01,0,0,0,0.01,Sony
God Eater Off Shot: Tachibana Sakuya-hen Twin Pack & Animation Vol.7 PS4,Action,2016,PS4,Namco Bandai Games,0,0,0.01,0,0.01,Sony
Shin Hayarigami 2 PS4,Adventure,2016,PS4,Nippon Ichi Software,0,0,0.01,0,0.01,Sony
Farming 2017 - The Simulation PS4,Simulation,2016,PS4,UIG Entertainment,0,0.01,0,0,0.01,Sony
Psycho-Pass: Mandatory Happiness PS4,Adventure,2016,PS4,Nippon Ichi Software,0.03,0,0,0.01,0.04,Sony
EVE: Valkyrie PS4,Shooter,2016,PS4,CCP,0.03,0.05,0,0.02,0.1,Sony
Hatsune Miku: Project Diva X PS4,Misc,2016,PS4,Sega,0.02,0,0.02,0,0.05,Sony
Persona 5 PS4,Role-Playing,2016,PS4,Atlus,0,0,0.37,0,0.37,Sony
TrackMania Turbo PS4,Action,2016,PS4,Ubisoft,0.03,0.26,0,0.05,0.35,Sony
Destiny: The Collection PS4,Shooter,2016,PS4,Activision,0.05,0.15,0,0.04,0.24,Sony
Street Fighter V PS4,Fighting,2016,PS4,Capcom,0.4,0.28,0.08,0.14,0.9,Sony
Resident Evil 6 PS4,Shooter,2016,PS4,Capcom,0.06,0,0,0.01,0.08,Sony
Dead Rising PS4,Action,2016,PS4,Capcom,0.02,0,0.01,0.01,0.04,Sony
Robinson: The Journey PS4,Action,2016,PS4,Crytek,0.06,0.03,0,0.02,0.12,Sony
Assault Suit Leynos PS4,Shooter,2016,PS4,Rising Star Games,0.02,0,0,0,0.02,Sony
Pro Evolution Soccer 2017 PS4,Sports,2016,PS4,Konami Digital Entertainment,0.02,0.27,0.11,0.05,0.45,Sony
UEFA Euro 2016 PS4,Sports,2016,PS4,Konami Digital Entertainment,0,0.22,0.04,0.04,0.29,Sony
Plants vs. Zombies: Garden Warfare 2 PS4,Shooter,2016,PS4,Electronic Arts,0.2,0.21,0,0.08,0.49,Sony
WWE 2K17 PS4,Sports,2016,PS4,Take-Two Interactive,0.17,0.34,0,0.09,0.6,Sony
Aegis of Earth: Protonovus Assault PS4,Action,2016,PS4,PQube,0.02,0,0,0,0.03,Sony
Battlefield 1 PS4,Shooter,2016,PS4,Electronic Arts,1.1,2.15,0.21,0.61,4.08,Sony
Mirror's Edge Catalyst PS4,Platform,2016,PS4,Electronic Arts,0.11,0.16,0.02,0.05,0.35,Sony
Dungeons 2 PS4,Role-Playing,2016,PS4,Kalypso Media,0.01,0,0,0,0.01,Sony
Rocket League PS4,Sports,2016,PS4,505 Games,0.03,0.28,0,0.05,0.37,Sony
The Technomancer PS4,Role-Playing,2016,PS4,Focus Home Interactive,0.02,0.04,0,0.01,0.06,Sony
Worms: WMD PS4,Action,2016,PS4,Sold Out,0.01,0.02,0,0,0.03,Sony
Rocksmith 2014 Edition Remastered PS4,Misc,2016,PS4,Ubisoft,0.01,0,0,0,0.02,Sony
BioShock The Collection PS4,Shooter,2016,PS4,Take-Two Interactive,0.1,0.19,0.02,0.06,0.37,Sony
Root Letter PS4,Adventure,2016,PS4,PQube,0,0,0.01,0,0.01,Sony
Agatha Christie's The ABC Murders PS4,Adventure,2016,PS4,Microids,0.01,0.01,0,0,0.03,Sony
LEGO Marvel's Avengers PS4,Action,2016,PS4,Warner Bros. Interactive Entertainment,0.26,0.35,0,0.12,0.73,Sony
Lego Star Wars: The Force Awakens PS4,Action,2016,PS4,Warner Bros. Interactive Entertainment,0.16,0.43,0.01,0.11,0.7,Sony
Dead Island Definitive Collection PS4,Action,2016,PS4,Deep Silver,0.03,0.07,0.01,0.02,0.14,Sony
Madden NFL 17 PS4,Sports,2016,PS4,Electronic Arts,1.25,0.17,0,0.32,1.75,Sony
EA Sports UFC 2 PS4,Sports,2016,PS4,Electronic Arts,0.29,0.49,0,0.15,0.93,Sony
Sherlock Holmes: The Devil's Daughter PS4,Adventure,2016,PS4,Bigben Interactive,0.01,0,0,0,0.01,Sony
Mafia III PS4,Action,2016,PS4,Take-Two Interactive,0.42,1.08,0.03,0.28,1.81,Sony
Battlezone PS4,Action,2016,PS4,Rebellion Developments,0.02,0.02,0,0.01,0.04,Sony
Paragon PS4,Action,2016,PS4,Epic Games,0.02,0,0,0,0.02,Sony
Dead or Alive Xtreme 3: Fortune PS4,Sports,2016,PS4,Tecmo Koei,0,0,0.05,0,0.05,Sony
DiRT Rally PS4,Racing,2016,PS4,Codemasters,0.04,0.27,0,0.05,0.37,Sony
No Man's Sky PS4,Action,2016,PS4,Hello Games,0.63,0.76,0.03,0.27,1.7,Sony
Uncharted 4: A Thief's End PS4,Shooter,2016,PS4,Sony Computer Entertainment,1.85,2.5,0.19,0.85,5.38,Sony
Berserk and the Band of the Hawk PS4,Action,2016,PS4,Tecmo Koei,0,0,0.04,0,0.04,Sony
Samurai Warriors: Sanada Maru PS4,Action,2016,PS4,Tecmo Koei,0,0,0.03,0,0.03,Sony
Super Dungeon Bros PS4,Action,2016,PS4,Nordic Games,0.01,0,0,0,0.01,Sony
World of Final Fantasy PS4,Role-Playing,2016,PS4,Square Enix,0.08,0.14,0.08,0.04,0.33,Sony
Odin Sphere: Leifthrasir PS4,Role-Playing,2016,PS4,Nippon Ichi Software,0.07,0.04,0.07,0.02,0.2,Sony
Mighty No. 9 PS4,Platform,2016,PS4,Deep Silver,0.04,0,0,0.01,0.05,Sony
Digimon Story: Cyber Sleuth PS4,Role-Playing,2016,PS4,Namco Bandai Games,0,0.1,0,0.02,0.11,Sony
Summon Night 6: Lost Borders PS4,Action,2016,PS4,Namco Bandai Games,0,0,0.03,0,0.03,Sony
The King of Fighters XIV PS4,Fighting,2016,PS4,Deep Silver,0.07,0.02,0.04,0.02,0.15,Sony
Skylanders Imaginators PS4,Platform,2016,PS4,Activision,0.04,0.08,0,0.02,0.14,Sony
Naruto Shippuden: Ultimate Ninja Storm 4 PS4,Fighting,2016,PS4,Namco Bandai Games,0.41,0.45,0.11,0.17,1.14,Sony
XCOM 2 PS4,Strategy,2016,PS4,Take-Two Interactive,0.04,0.08,0,0.02,0.14,Sony
Dark Souls III PS4,Role-Playing,2016,PS4,Namco Bandai Games,0.65,0.45,0.34,0.22,1.65,Sony
Call of Duty: Infinite Warfare PS4,Shooter,2016,PS4,Activision,1.61,2,0.15,0.71,4.46,Sony
Farming Simulator 17 PS4,Simulation,2016,PS4,Focus Home Interactive,0.05,0.31,0,0.06,0.41,Sony
Teenage Mutant Ninja Turtles: Mutants in Manhattan PS4,Action,2016,PS4,Activision,0.05,0.02,0,0.02,0.09,Sony
Just Dance 2017 PS4,Misc,2016,PS4,Ubisoft,0.02,0,0,0.01,0.03,Sony
Dishonored 2 PS4,Action,2016,PS4,Bethesda Softworks,0.22,0.32,0,0.1,0.64,Sony
Republique PS4,Action,2016,PS4,Nippon Ichi Software,0,0.01,0.01,0,0.01,Sony
Assassin's Creed Chronicles PS4,Action,2016,PS4,Ubisoft,0.01,0.05,0.01,0.01,0.09,Sony
Deus Ex: Mankind Divided PS4,Role-Playing,2016,PS4,Square Enix,0.11,0.21,0,0.06,0.38,Sony
Fate/Extella: The Umbral Star PS4,Action,2016,PS4,PQube,0,0,0.11,0,0.11,Sony
One Piece: Burning Blood PS4,Fighting,2016,PS4,Namco Bandai Games,0.11,0.13,0.07,0.05,0.35,Sony
Atari Flashback Classics: Volume 1 PS4,Misc,2016,PS4,Atari,0.02,0,0,0,0.03,Sony
Atari Flashback Classics: Volume 2 PS4,Misc,2016,PS4,Atari,0.02,0,0,0,0.02,Sony
Mega Man Legacy Collection PS4,Platform,2016,PS4,Capcom,0.07,0,0,0.02,0.08,Sony
Song of the Deep PS4,Action,2016,PS4,Insomniac Games,0.06,0,0,0.01,0.08,Sony
Ride 2 PS4,Racing,2016,PS4,Milestone S.r.l,0,0.04,0,0.01,0.05,Sony
Sébastien Loeb Rally Evo PS4,Racing,2016,PS4,Milestone S.r.l,0,0.04,0,0.01,0.04,Sony
Carmageddon: Max Damage PS4,Action,2016,PS4,Stainless Games,0.01,0,0,0,0.01,Sony
NBA 2K17 PS4,Sports,2016,PS4,Take-Two Interactive,1.25,0.27,0.02,0.34,1.88,Sony
BlazBlue Central Fiction PS4,Fighting,2016,PS4,PQube,0.04,0,0.03,0.01,0.08,Sony
Battleborn PS4,Shooter,2016,PS4,Take-Two Interactive,0.12,0.08,0.02,0.04,0.26,Sony
Duke Nukem 3D: 20th Anniversary World Tour PS4,Shooter,2016,PS4,Gearbox Software,0.03,0,0,0.01,0.03,Sony
Toukiden 2 PS4,Action,2016,PS4,Tecmo Koei,0,0,0.08,0,0.08,Sony
Here They Lie PS4,Adventure,2016,PS4,Sony Computer Entertainment,0,0.02,0,0,0.02,Sony
Far Cry: Primal PS4,Action,2016,PS4,Ubisoft,0.6,1.25,0.06,0.35,2.26,Sony
Watch Dogs 2 PS4,Action,2016,PS4,Ubisoft,0.37,0.58,0,0.18,1.13,Sony
Assassin's Creed The Ezio Collection PS4,Action,2016,PS4,Ubisoft,0.04,0.13,0,0.03,0.2,Sony
Dead Rising 2 PS4,Action,2016,PS4,Capcom,0.01,0,0.01,0,0.03,Sony
Dragon Ball: Xenoverse 2 PS4,Action,2016,PS4,Namco Bandai Games,0.24,0.27,0.09,0.1,0.71,Sony
DriveClub VR PS4,Racing,2016,PS4,Sony Computer Entertainment,0.03,0.05,0,0.01,0.09,Sony
Assetto Corsa PS4,Racing,2016,PS4,505 Games,0,0.05,0,0.01,0.06,Sony
King's Quest: The Complete Collection PS4,Adventure,2016,PS4,Activision,0.01,0,0,0,0.02,Sony
Eagle Flight PS4,Adventure,2016,PS4,Ubisoft,0.01,0.05,0,0.01,0.07,Sony
Tales of Berseria PS4,Role-Playing,2016,PS4,Namco Bandai Games,0,0,0.23,0,0.23,Sony
Sword Art Online: Hollow Realization PS4,Role-Playing,2016,PS4,Namco Bandai Games,0.06,0.02,0.1,0.02,0.19,Sony
RIGS: Mechanized Combat League PS4,Action,2016,PS4,Sony Computer Entertainment,0.03,0.05,0.01,0.02,0.11,Sony
Metal Gear Solid V: The Definitive Experience PS4,Action,2016,PS4,Konami Digital Entertainment,0.01,0.02,0.01,0,0.04,Sony
Batman: Arkham VR PS4,Action,2016,PS4,Warner Bros. Interactive Entertainment,0.25,0,0,0.06,0.3,Sony
Until Dawn: Rush of Blood PS4,Adventure,2016,PS4,Sony Computer Entertainment,0.18,0.15,0,0.07,0.39,Sony
Touhou Genso Rondo: Bullet Ballet PS4,Shooter,2016,PS4,Nippon Ichi Software,0.02,0,0,0,0.02,Sony
Killing Floor 2  PS4,Shooter,2016,PS4,Tripwire Interactive,0.03,0.01,0,0.01,0.05,Sony
Life is Strange PS4,Adventure,2016,PS4,Square Enix,0.15,0.15,0.03,0.06,0.4,Sony
Mark McMorris Infinite Air PS4,Sports,2016,PS4,FuRyu Corporation,0.01,0,0,0,0.02,Sony
Tom Clancy's The Division PS4,Shooter,2016,PS4,Ubisoft,1.35,1.7,0.15,0.6,3.8,Sony
Prototype: Biohazard Bundle PS4,Action,2016,PS4,Activision,0.01,0,0,0,0.02,Sony
Titanfall 2 PS4,Shooter,2016,PS4,Electronic Arts,0.34,0.25,0.05,0.12,0.75,Sony
Yakuza Kiwami PS4,Adventure,2016,PS4,Sega,0,0,0.16,0,0.16,Sony
Rugby Challenge 3 PS4,Sports,2016,PS4,Alternative Software,0,0.04,0,0.01,0.04,Sony
Overwatch PS4,Shooter,2016,PS4,Activision,0.81,0.85,0.15,0.33,2.14,Sony
NHL 17 PS4,Sports,2016,PS4,Electronic Arts,0.19,0.08,0,0.06,0.33,Sony
FIFA 17 PS4,Sports,2016,PS4,Electronic Arts,0.66,5.75,0.08,1.11,7.59,Sony
Darksiders: Warmastered Edition PS4,Action,2016,PS4,Nordic Games,0.02,0,0,0,0.02,Sony
NASCAR Heat Evolution PS4,Racing,2016,PS4,Dusenberry Martin Racing,0.04,0,0,0.01,0.05,Sony
Valentino Rossi: The Game PS4,Racing,2016,PS4,Namco Bandai Games,0.01,0.05,0,0.01,0.08,Sony
Prison Architect PS4,Action,2016,PS4,Introversion Software,0.01,0.01,0,0.01,0.03,Sony
